,distid_nerds,schoolid_stateassigned,distname_nerds,schoolname_nerds,enroll_raw_TX,pp_stloc_raw_TX,CEID,distname_ed,SiteID,schoolname_ed,distid_ed,CECounty,SiteCounty,SiteISP,school_id
0,15901.0,15901102,ALAMO HEIGHTS ISD,HOWARD EL,399,10274.96023,78,ALAMO HEIGHTS ISD,102,HOWARD EL,15901,BEXAR,BEXAR,30.13,15901102
1,15901.0,15901104,ALAMO HEIGHTS ISD,WOODRIDGE EL,886,8472.334459,78,ALAMO HEIGHTS ISD,104,WOODRIDGE EL,15901,BEXAR,BEXAR,21.97,15901104
2,15901.0,15901001,ALAMO HEIGHTS ISD,ALAMO HEIGHTS H S,1601,9512.974233,78,ALAMO HEIGHTS ISD,1,ALAMO HEIGHTS H S,15901,BEXAR,BEXAR,19.15,15901001
3,15901.0,15901041,ALAMO HEIGHTS ISD,ALAMO HEIGHTS J H,1121,8145.541174,78,ALAMO HEIGHTS ISD,41,ALAMO HEIGHTS J H,15901,BEXAR,BEXAR,22.47,15901041
4,15901.0,15901101,ALAMO HEIGHTS ISD,CAMBRIDGE EL,836,8850.318342,78,ALAMO HEIGHTS ISD,101,CAMBRIDGE EL,15901,BEXAR,BEXAR,24.48,15901101
5,130901.0,130901103,BOERNE ISD,FAIR OAKS RANCH EL,603,7915.687889,688,BOERNE ISD,103,FAIR OAKS RANCH EL,130901,KENDALL,KENDALL,4.24,130901103
6,130901.0,130901101,BOERNE ISD,CURINGTON EL,698,7475.845346,688,BOERNE ISD,101,CURINGTON EL,130901,KENDALL,KENDALL,25.34,130901101
7,130901.0,130901001,BOERNE ISD,BOERNE H S,1133,8487.374978,688,BOERNE ISD,1,BOERNE H S,130901,KENDALL,KENDALL,11.13,130901001
8,130901.0,130901102,BOERNE ISD,FABRA EL,578,7834.191392,688,BOERNE ISD,102,FABRA EL,130901,KENDALL,KENDALL,25.31,130901102
9,130901.0,130901105,BOERNE ISD,CIBOLO CREEK EL,766,7124.651907,688,BOERNE ISD,105,CIBOLO CREEK ELEMENTARY,130901,KENDALL,KENDALL,10.84,130901105
10,130901.0,130901002,BOERNE ISD,BOERNE - SAMUEL V CHAMPION H S,1738,7632.543971,688,BOERNE ISD,2,BOERNE-SAMUEL V. CHAMPION HIGH SCHOOL,130901,KENDALL,KENDALL,6.17,130901002
11,130901.0,130901041,BOERNE ISD,BOERNE MIDDLE NORTH,870,7528.024825,688,BOERNE ISD,41,BOERNE MIDDLE NORTH,130901,KENDALL,KENDALL,20.17,130901041
12,130901.0,130901106,BOERNE ISD,VAN RAUB EL,758,6962.437026,688,BOERNE ISD,106,Van Raub Elementary School,130901,KENDALL,BEXAR,,130901106
13,130901.0,130901104,BOERNE ISD,KENDALL EL,713,7693.108493,688,BOERNE ISD,104,KENDALL ELEMENTARY,130901,KENDALL,KENDALL,18.88,130901104
14,130901.0,130901042,BOERNE ISD,BOERNE MIDDLE SOUTH,1276,6618.638461,688,BOERNE ISD,42,BOERNE MIDDLE SOUTH,130901,KENDALL,KENDALL,7.8,130901042
15,46902.0,46902120,COMAL ISD,MT VALLEY EL,469,8708.783135,215,COMAL ISD,120,MOUNTAIN VALLEY ELEMENTARY,46902,COMAL,COMAL,36.4,46902120
16,46902.0,46902045,COMAL ISD,CHURCH HILL MIDDLE,923,7147.275869,215,COMAL ISD,45,CHURCH HILL MIDDLE SCHOOL,46902,COMAL,COMAL,19.79,46902045
17,46902.0,46902105,COMAL ISD,STARTZVILLE EL,417,7656.280377,215,COMAL ISD,105,STARTVILLE ELEMENTARY SCHOOL,46902,COMAL,COMAL,45.24,46902105
18,46902.0,46902107,COMAL ISD,BILL BROWN EL,702,6913.444502,215,COMAL ISD,107,BILL BROWN ELEMENTARY SCHOOL,46902,COMAL,COMAL,19.39,46902107
19,46902.0,46902048,COMAL ISD,DANVILLE MIDDLE,705,10366.21536,215,COMAL ISD,48,DANVILLE MIDDLE SCHOOL,46902,COMAL,COMAL,,46902048
20,46902.0,46902044,COMAL ISD,SPRING BRANCH MIDDLE,559,9486.595731,215,COMAL ISD,44,SPRING BRANCH MIDDLE,46902,COMAL,COMAL,14.73,46902044
21,46902.0,46902113,COMAL ISD,REBECCA CREEK EL,555,6712.045572,215,COMAL ISD,113,REBECCA CREEK ELEMENTARY SCHOOL,46902,COMAL,COMAL,34.32,46902113
22,46902.0,46902003,COMAL ISD,CANYON LAKE H S,1045,10484.79724,215,COMAL ISD,3,CANYON LAKE HIGH SCHOOL,46902,COMAL,COMAL,25.65,46902003
23,46902.0,46902112,COMAL ISD,HOFFMANN LANE EL,794,6504.350912,215,COMAL ISD,112,HOFFMANN LANE ELEMENTARY SCHOOL,46902,COMAL,COMAL,5.79,46902112
24,46902.0,46902046,COMAL ISD,MT VALLEY MIDDLE,758,7607.122869,215,COMAL ISD,46,MT VALLEY MIDDLE,46902,COMAL,COMAL,29.41,46902046
25,46902.0,46902101,COMAL ISD,RAHE BULVERDE EL,432,8637.333035,215,COMAL ISD,101,RAHE-BULVERDE El SCHOOL,46902,COMAL,COMAL,16.67,46902101
26,46902.0,46902121,COMAL ISD,JOHNSON RANCH EL,504,8168.247717,215,COMAL ISD,121,JOHNSON RANCH ELEMENTARY,46902,COMAL,COMAL,11.44,46902121
27,46902.0,46902042,COMAL ISD,CANYON MIDDLE,723,8667.195817,215,COMAL ISD,42,CANYON MIDDLE,46902,COMAL,COMAL,26.01,46902042
28,46902.0,46902117,COMAL ISD,MORNINGSIDE EL,723,6754.847269,215,COMAL ISD,117,MORNINGSIDE EL,46902,COMAL,COMAL,46.8,46902117
29,46902.0,46902122,COMAL ISD,KINDER RANCH EL,548,7837.873688,215,COMAL ISD,122,KINDER RANCH ELEMENTARY,46902,COMAL,COMAL,21.41,46902122
30,46902.0,46902002,COMAL ISD,SMITHSON VALLEY H S,2849,7248.860759,215,COMAL ISD,2,SMITHSON VALLEY HIGH SCHOOL,46902,COMAL,COMAL,8.22,46902002
31,46902.0,46902102,COMAL ISD,GARDEN RIDGE EL,843,7005.53168,215,COMAL ISD,102,GARDEN RIDGE ELEMENTARY SCHOOL,46902,COMAL,COMAL,13.92,46902102
32,46902.0,46902123,COMAL ISD,OAK CREEK EL,501,9029.964189,215,COMAL ISD,123,OAK CREEK ELEMENTARY,46902,COMAL,COMAL,23.19,46902123
33,46902.0,46902047,COMAL ISD,PIEPER RANCH MIDDLE,1254,8172.96375,215,COMAL ISD,47,Pieper Ranch Middle,46902,COMAL,BEXAR,,46902047
34,46902.0,46902001,COMAL ISD,CANYON H S,2698,7799.807203,215,COMAL ISD,1,CANYON HIGH SCHOOL,46902,COMAL,COMAL,15.46,46902001
35,46902.0,46902115,COMAL ISD,FREIHEIT EL,689,8145.272782,215,COMAL ISD,115,FREIHEIT ELEMENTARY,46902,COMAL,COMAL,38.65,46902115
36,46902.0,46902041,COMAL ISD,SMITHSON VALLEY MIDDLE,667,8111.565939,215,COMAL ISD,41,SMITHSON VALLEY MIDDLE,46902,COMAL,COMAL,7.85,46902041
37,46902.0,46902111,COMAL ISD,MH SPECHT EL,794,7090.092725,215,COMAL ISD,111,MH SPECHT ELEMENTARY SCHOOL,46902,COMAL,COMAL,14.23,46902111
38,46902.0,46902119,COMAL ISD,CLEAR SPRING EL,757,6585.091419,215,COMAL ISD,119,CLEAR SPRINGS EL,46902,COMAL,COMAL,29.41,46902119
39,46902.0,46902104,COMAL ISD,GOODWIN FRAZIER EL,641,7753.612004,215,COMAL ISD,104,GOODWIN FRAZIER ELEMENTARY SCHOOL,46902,COMAL,COMAL,47.04,46902104
40,46902.0,46902125,COMAL ISD,INDIAN SPRINGS EL,806,6192.875666,215,COMAL ISD,125,INDIAN SPRINGS ELEMENTARY,46902,COMAL,COMAL,7.01,46902125
41,46902.0,46902110,COMAL ISD,ARLON R SEAY EL,391,7811.983965,215,COMAL ISD,110,ARLON R. SEAY INTERMEDIATE,46902,COMAL,COMAL,14.03,46902110
42,46902.0,46902114,COMAL ISD,TIMBERWOOD PARK EL,690,7034.407069,215,COMAL ISD,114,TIMBERWOOD PARK ELEMENTARY,46902,COMAL,COMAL,7.79,46902114
