distid,schoolid_stateassigned,distname,schoolname,enroll_raw_TX,pp_stloc_raw_TX
57816,57816102,A W BROWN LEADERSHIP ACADEMY,GENESIS CAMPUS PRE-K THRU 5,1193,4698.356334
57816,57816101,A W BROWN LEADERSHIP ACADEMY,QUEST CAMPUS KINDER THRU 8,891,11430.75858
57829,57829001,A+ ACADEMY,A+ ACADEMY EL,823,9012.94753
57829,57829002,A+ ACADEMY,A+ SECONDARY SCHOOL,586,8312.549799
101871,101871041,A+ UNLIMITED POTENTIAL,A+ UNLIMITED POTENTIAL - MUSEUM DI,106,6779.483229
101871,101871102,A+ UNLIMITED POTENTIAL,A+ UNLIMITED POTENTIAL - UNIVERSIT,74,13185.98348
109901,109901001,ABBOTT ISD,ABBOTT SCHOOL,277,9713.761733
95901,95901003,ABERNATHY ISD,ABERNATHY DAEP,NRD,NRD
95901,95901101,ABERNATHY ISD,ABERNATHY EL,352,8759.933491
95901,95901001,ABERNATHY ISD,ABERNATHY H S,238,14154.14398
95901,95901041,ABERNATHY ISD,ABERNATHY MIDDLE,188,9036.053957
221901,221901001,ABILENE ISD,ABILENE H S,2125,8361.724591
221901,221901010,ABILENE ISD,ACADEMY FOR TECHNOLOGY ENGINEERING,329,6955.657433
221901,221901004,ABILENE ISD,ADULT LEARNING CTR,NRD,NRD
221901,221901102,ABILENE ISD,AUSTIN EL,598,6436.25302
221901,221901153,ABILENE ISD,BASSETTI EL,524,7871.196987
221901,221901103,ABILENE ISD,BONHAM EL,536,7570.015818
221901,221901104,ABILENE ISD,BOWIE EL,560,7174.444629
221901,221901047,ABILENE ISD,CLACK MIDDLE,888,7305.638532
221901,221901002,ABILENE ISD,COOPER H S,1775,9238.524372
221901,221901048,ABILENE ISD,CRAIG MIDDLE,959,7207.160883
221901,221901107,ABILENE ISD,CROCKETT EARLY HEADSTART,NRD,NRD
221901,221901006,ABILENE ISD,DAEP,40,43746.27141
221901,221901208,ABILENE ISD,DAY NURSERY OF ABILENE,59,4292.135821
221901,221901108,ABILENE ISD,DYESS EL,531,7230.542601
221901,221901112,ABILENE ISD,JACKSON EL,512,6940.732352
221901,221901113,ABILENE ISD,JOHNSTON EL,653,6539.736958
221901,221901008,ABILENE ISD,JUVENILE DETENTION CENTER,7,27318.27141
221901,221901116,ABILENE ISD,LEE EL,481,7157.213203
221901,221901156,ABILENE ISD,LONG EARLY LEARNING CENTER,785,5523.28288
221901,221901044,ABILENE ISD,MADISON MIDDLE,911,7096.678659
221901,221901045,ABILENE ISD,MANN MIDDLE,882,7452.898399
221901,221901155,ABILENE ISD,MARTINEZ EL,538,7319.829036
221901,221901142,ABILENE ISD,OCEANS BEHAVIORAL HEALTH,4,19064.77141
221901,221901152,ABILENE ISD,ORTIZ EL,588,7340.582639
221901,221901120,ABILENE ISD,REAGAN EL,387,7497.669348
221901,221901007,ABILENE ISD,TAYLOR COUNTY LEARNING CENTER,11,14270.90778
221901,221901121,ABILENE ISD,TAYLOR EL,628,6887.65358
221901,221901151,ABILENE ISD,THOMAS EL,444,7463.138532
221901,221901150,ABILENE ISD,WARD EL,551,6957.79773
221901,221901003,ABILENE ISD,WOODSON CENTER FOR EXCELLENCE,178,9894.024224
57814,57814001,ACADEMY FOR ACADEMIC EXCELLENCE,DALLAS COUNTY JUVENILE JUSTICE,292,10847.15475
57814,57814002,ACADEMY FOR ACADEMIC EXCELLENCE,DRC CAMPUS,45,12389.4132
57814,57814005,ACADEMY FOR ACADEMIC EXCELLENCE,LETOT CAMPUS,53,19213.98804
57814,57814003,ACADEMY FOR ACADEMIC EXCELLENCE,MEDLOCK YOUTH VILLAGE,87,19032.44998
57814,57814004,ACADEMY FOR ACADEMIC EXCELLENCE,SAU CAMPUS,28,18130.09653
14901,14901102,ACADEMY ISD,ACADEMY EL,416,6875.483579
14901,14901001,ACADEMY ISD,ACADEMY H S,450,8761.587617
14901,14901101,ACADEMY ISD,ACADEMY INT,396,7455.53792
14901,14901041,ACADEMY ISD,ACADEMY J H,379,7233.436377
14901,14901005,ACADEMY ISD,BELL COUNTY ALTERNATIVE SCHOOL,NRD,NRD
101810,101810002,ACADEMY OF ACCELERATED LEARNING IN,ACADEMY OF ACCELERATED LEARNING,742,8293.778976
57810,57810101,ACADEMY OF DALLAS,ACADEMY OF DALLAS,487,7996.876797
101849,101849101,ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACAD,248,6351.471774
101849,101849105,ACCELERATED INTERMEDIATE ACADEMY,AIA LANCASTER EL,NRD,NRD
180903,180903001,ADRIAN ISD,ADRIAN SCHOOL,117,19914.76923
57806,57806101,ADVANTAGE ACADEMY,ADVANTAGE ACADEMY,1689,7661.312611
178901,178901101,AGUA DULCE ISD,AGUA DULCE EL,149,11561.53515
178901,178901001,AGUA DULCE ISD,AGUA DULCE H S,197,12764.27545
15901,15901001,ALAMO HEIGHTS ISD,ALAMO HEIGHTS H S,1601,9512.974233
15901,15901041,ALAMO HEIGHTS ISD,ALAMO HEIGHTS J H,1121,8145.541174
15901,15901002,ALAMO HEIGHTS ISD,BEXAR CO J J A E P,NRD,NRD
15901,15901101,ALAMO HEIGHTS ISD,CAMBRIDGE EL,836,8850.318342
15901,15901102,ALAMO HEIGHTS ISD,HOWARD EL,399,10274.96023
15901,15901104,ALAMO HEIGHTS ISD,WOODRIDGE EL,886,8472.334459
250906,250906101,ALBA-GOLDEN ISD,ALBA-GOLDEN EL,460,7774.500259
250906,250906001,ALBA-GOLDEN ISD,ALBA-GOLDEN H S,433,10404.12131
250906,250906002,ALBA-GOLDEN ISD,ALTER SCHOOL,6,12392.55895
209901,209901001,ALBANY ISD,ALBANY JR-SR H S,221,12778.18784
209901,209901101,ALBANY ISD,NANCY SMITH EL,274,8204.906886
101902,101902090,ALDINE ISD,ALDINE EDUCATION CENTER,NRD,NRD
101902,101902001,ALDINE ISD,ALDINE H S,2318,7669.939905
