CEID,distname,SiteID,schoolname,distid,CECounty,SiteCounty,SiteISP
78,ALAMO HEIGHTS ISD,102,HOWARD EL,15901,BEXAR,BEXAR,30.13
78,ALAMO HEIGHTS ISD,104,WOODRIDGE EL,15901,BEXAR,BEXAR,21.97
78,ALAMO HEIGHTS ISD,1,ALAMO HEIGHTS H S,15901,BEXAR,BEXAR,19.15
78,ALAMO HEIGHTS ISD,41,ALAMO HEIGHTS J H,15901,BEXAR,BEXAR,22.47
78,ALAMO HEIGHTS ISD,101,CAMBRIDGE EL,15901,BEXAR,BEXAR,24.48
688,BOERNE ISD,103,FAIR OAKS RANCH EL,130901,KENDALL,KENDALL,4.24
688,BOERNE ISD,101,CURINGTON EL,130901,KENDALL,KENDALL,25.34
688,BOERNE ISD,1,BOERNE H S,130901,KENDALL,KENDALL,11.13
688,BOERNE ISD,102,FABRA EL,130901,KENDALL,KENDALL,25.31
688,BOERNE ISD,105,CIBOLO CREEK ELEMENTARY,130901,KENDALL,KENDALL,10.84
688,BOERNE ISD,2,BOERNE-SAMUEL V. CHAMPION HIGH SCHOOL,130901,KENDALL,KENDALL,6.17
688,BOERNE ISD,41,BOERNE MIDDLE NORTH,130901,KENDALL,KENDALL,20.17
688,BOERNE ISD,106,Van Raub Elementary School,130901,KENDALL,BEXAR,
688,BOERNE ISD,104,KENDALL ELEMENTARY,130901,KENDALL,KENDALL,18.88
688,BOERNE ISD,42,BOERNE MIDDLE SOUTH,130901,KENDALL,KENDALL,7.8
215,COMAL ISD,120,MOUNTAIN VALLEY ELEMENTARY,46902,COMAL,COMAL,36.4
215,COMAL ISD,45,CHURCH HILL MIDDLE SCHOOL,46902,COMAL,COMAL,19.79
215,COMAL ISD,105,STARTVILLE ELEMENTARY SCHOOL,46902,COMAL,COMAL,45.24
215,COMAL ISD,107,BILL BROWN ELEMENTARY SCHOOL,46902,COMAL,COMAL,19.39
215,COMAL ISD,48,DANVILLE MIDDLE SCHOOL,46902,COMAL,COMAL,
215,COMAL ISD,44,SPRING BRANCH MIDDLE,46902,COMAL,COMAL,14.73
215,COMAL ISD,113,REBECCA CREEK ELEMENTARY SCHOOL,46902,COMAL,COMAL,34.32
215,COMAL ISD,3,CANYON LAKE HIGH SCHOOL,46902,COMAL,COMAL,25.65
215,COMAL ISD,112,HOFFMANN LANE ELEMENTARY SCHOOL,46902,COMAL,COMAL,5.79
215,COMAL ISD,46,MT VALLEY MIDDLE,46902,COMAL,COMAL,29.41
215,COMAL ISD,101,RAHE-BULVERDE El SCHOOL,46902,COMAL,COMAL,16.67
215,COMAL ISD,121,JOHNSON RANCH ELEMENTARY,46902,COMAL,COMAL,11.44
215,COMAL ISD,42,CANYON MIDDLE,46902,COMAL,COMAL,26.01
215,COMAL ISD,117,MORNINGSIDE EL,46902,COMAL,COMAL,46.8
215,COMAL ISD,122,KINDER RANCH ELEMENTARY,46902,COMAL,COMAL,21.41
215,COMAL ISD,2,SMITHSON VALLEY HIGH SCHOOL,46902,COMAL,COMAL,8.22
215,COMAL ISD,102,GARDEN RIDGE ELEMENTARY SCHOOL,46902,COMAL,COMAL,13.92
215,COMAL ISD,123,OAK CREEK ELEMENTARY,46902,COMAL,COMAL,23.19
215,COMAL ISD,47,Pieper Ranch Middle,46902,COMAL,BEXAR,
215,COMAL ISD,1,CANYON HIGH SCHOOL,46902,COMAL,COMAL,15.46
215,COMAL ISD,115,FREIHEIT ELEMENTARY,46902,COMAL,COMAL,38.65
215,COMAL ISD,41,SMITHSON VALLEY MIDDLE,46902,COMAL,COMAL,7.85
215,COMAL ISD,111,MH SPECHT ELEMENTARY SCHOOL,46902,COMAL,COMAL,14.23
215,COMAL ISD,119,CLEAR SPRINGS EL,46902,COMAL,COMAL,29.41
215,COMAL ISD,104,GOODWIN FRAZIER ELEMENTARY SCHOOL,46902,COMAL,COMAL,47.04
215,COMAL ISD,125,INDIAN SPRINGS ELEMENTARY,46902,COMAL,COMAL,7.01
215,COMAL ISD,110,ARLON R. SEAY INTERMEDIATE,46902,COMAL,COMAL,14.03
215,COMAL ISD,114,TIMBERWOOD PARK ELEMENTARY,46902,COMAL,COMAL,7.79
215,COMAL ISD,7,MEMORIAL EARLY COLLEGE HIGH SCHOOL,46902,COMAL,COMAL,15.07
86,EAST CENTRAL ISD,43,EAST CENTRAL HERITAGE MIDDLE,15911,BEXAR,BEXAR,41.8
86,EAST CENTRAL ISD,104,SINCLAIR EL,15911,BEXAR,BEXAR,51.38
86,EAST CENTRAL ISD,110,OAK CREST EL,15911,BEXAR,BEXAR,45.03
86,EAST CENTRAL ISD,42,SALADO INT,15911,BEXAR,BEXAR,50
86,EAST CENTRAL ISD,103,PECAN VALLEY EL,15911,BEXAR,BEXAR,57.35
86,EAST CENTRAL ISD,108,TRADITION EL,15911,BEXAR,BEXAR,38.79
86,EAST CENTRAL ISD,102,HARMONY EL,15911,BEXAR,BEXAR,58.97
86,EAST CENTRAL ISD,106,HIGHLAND FOREST ELEMENTARY,15911,BEXAR,BEXAR,48.73
86,EAST CENTRAL ISD,44,LEGACY MIDDLE SCHOOL,15911,BEXAR,BEXAR,45.13
86,EAST CENTRAL ISD,1,EAST CENTRAL H S,15911,BEXAR,BEXAR,36.03
86,EAST CENTRAL ISD,105,EAST CENTRAL DEV CTR,15911,BEXAR,BEXAR,63.73
89,FT SAM HOUSTON ISD,1,ROBERT G COLE JR-SR HIGH SCHOOL,15914,BEXAR,BEXAR,3.23
89,FT SAM HOUSTON ISD,101,FT SAM HOUSTON EL,15914,BEXAR,BEXAR,3.96
79,HARLANDALE ISD,46,HISD BOOT DAEP MS,15904,BEXAR,BEXAR,80
79,HARLANDALE ISD,103,COLLIER EL,15904,BEXAR,BEXAR,73.91
79,HARLANDALE ISD,10,FENLEY TRANSITIONAL HIGH,15904,BEXAR,BEXAR,57.14
79,HARLANDALE ISD,43,TERRELL WELLS MIDDLE,15904,BEXAR,BEXAR,56.99
79,HARLANDALE ISD,108,H W SCHULZE EL,15904,BEXAR,BEXAR,64.53
79,HARLANDALE ISD,47,FENLY TRANSITIONAL MIDDLE,15904,BEXAR,BEXAR,40
79,HARLANDALE ISD,104,COLUMBIA HEIGHTS ELEMENTARY,15904,BEXAR,BEXAR,62.87
79,HARLANDALE ISD,48,TEJEDA JUNIOR ACADEMY,15904,BEXAR,BEXAR,68.42
79,HARLANDALE ISD,114,WRIGHT EL,15904,BEXAR,BEXAR,71.62
79,HARLANDALE ISD,107,GILLETTE EL,15904,BEXAR,BEXAR,72.64
79,HARLANDALE ISD,8,HISD BOOT DAEP HS,15904,BEXAR,BEXAR,80
79,HARLANDALE ISD,42,A LEAL JR MIDDLE,15904,BEXAR,BEXAR,58.61
79,HARLANDALE ISD,113,VESTAL EL,15904,BEXAR,BEXAR,76.82
79,HARLANDALE ISD,1,HARLANDALE H S,15904,BEXAR,BEXAR,50.03
79,HARLANDALE ISD,101,CARROLL BELL EL,15904,BEXAR,BEXAR,64.17
79,HARLANDALE ISD,115,JEWEL C. WIETZEL CENTER,15904,BEXAR,BEXAR,22.22
79,HARLANDALE ISD,44,KINGSBOROUGH MIDDLE,15904,BEXAR,BEXAR,55.18
79,HARLANDALE ISD,41,HARLANDALE MIDDLE,15904,BEXAR,BEXAR,64.12
79,HARLANDALE ISD,106,V M ADAMS EL,15904,BEXAR,BEXAR,75.32
79,HARLANDALE ISD,4,FRANK M TEJEDA ACADEMY,15904,BEXAR,BEXAR,62.82
79,HARLANDALE ISD,110,RAYBURN EL,15904,BEXAR,BEXAR,71.13
79,HARLANDALE ISD,2,MCCOLLUM H S,15904,BEXAR,BEXAR,46.36
79,HARLANDALE ISD,116,E H GILBERT EL,15904,BEXAR,BEXAR,82.86
79,HARLANDALE ISD,102,BELLAIRE EL,15904,BEXAR,BEXAR,69.33
79,HARLANDALE ISD,45,HAC DAEP MS,15904,BEXAR,BEXAR,84.38
79,HARLANDALE ISD,11,EARLY COLLEGE HIGH SCHOOL,15904,BEXAR,BEXAR,37.54
79,HARLANDALE ISD,109,MORRILL EL,15904,BEXAR,BEXAR,68.87
79,HARLANDALE ISD,3,HAC DAEP H S,15904,BEXAR,BEXAR,66.67
79,HARLANDALE ISD,105,STONEWALL/FLANDERS ELEMENTARY,15904,BEXAR,BEXAR,79.76
79,HARLANDALE ISD,117,COLLIER DAEP,15904,BEXAR,BEXAR,50
91,JUDSON ISD,102,HOPKINS EL,15916,BEXAR,BEXAR,64.26
91,JUDSON ISD,114,WILLIAM PASCHALL ELEMENTARY,15916,BEXAR,BEXAR,57.66
91,JUDSON ISD,123,ESCONDIDO EL,15916,BEXAR,BEXAR,
91,JUDSON ISD,41,KIRBY MIDDLE,15916,BEXAR,BEXAR,62.86
91,JUDSON ISD,3,JUDSON LEARNING ACADEMY,15916,BEXAR,BEXAR,48.28
91,JUDSON ISD,106,CRESTVIEW EL,15916,BEXAR,BEXAR,40.65
91,JUDSON ISD,119,COPPERFIELD EL,15916,BEXAR,BEXAR,38.49
91,JUDSON ISD,101,CONVERSE EL,15916,BEXAR,BEXAR,47.06
91,JUDSON ISD,115,MARY LOU HARTMAN ELEMENTARY,15916,BEXAR,BEXAR,46.37
91,JUDSON ISD,42,KITTY HAWK MIDDLE,15916,BEXAR,BEXAR,32.52
91,JUDSON ISD,111,MILLER POINT EL,15916,BEXAR,BEXAR,49.2
91,JUDSON ISD,8,WAGNER HIGH SCHOOL,15916,BEXAR,BEXAR,43.23
91,JUDSON ISD,1,JUDSON HIGH SCHOOL,15916,BEXAR,BEXAR,29.6
91,JUDSON ISD,118,ROLLING MEADOWS ELEMENTARY,15916,BEXAR,BEXAR,24.03
91,JUDSON ISD,105,PARK VILLAGE EL,15916,BEXAR,BEXAR,79.76
91,JUDSON ISD,104,CORONADO VILLAGE EL,15916,BEXAR,BEXAR,43.26
91,JUDSON ISD,116,RICARDO SALINAS ELEMENTARY,15916,BEXAR,BEXAR,38.63
91,JUDSON ISD,109,OLYMPIA EL,15916,BEXAR,BEXAR,33.93
